MAPK signaling pathway	- hsa04010
ErbB signaling pathway	- hsa04012
Ras signaling pathway	- hsa04014
Rap1 signaling pathway	- hsa04015
Wnt signaling pathway	- hsa04310
Notch signaling pathway	- hsa04330
Hedgehog signaling pathway	- hsa04340
TGF-beta signaling pathway	- hsa04350
Hippo signaling pathway	- hsa04390
Hippo signaling pathway - multiple species	- hsa04392
VEGF signaling pathway	- hsa04370
Apelin signaling pathway	- hsa04371
JAK-STAT signaling pathway	- hsa04630
NF-kappa B signaling pathway	- hsa04064
TNF signaling pathway	- hsa04668
HIF-1 signaling pathway	- hsa04066
FoxO signaling pathway	- hsa04068
Calcium signaling pathway	- hsa04020
Phosphatidylinositol signaling system	- hsa04070
Phospholipase D signaling pathway	- hsa04072
Sphingolipid signaling pathway	- hsa04071
cAMP signaling pathway	- hsa04024
cGMP-PKG signaling pathway	- hsa04022
PI3K-Akt signaling pathway	- hsa04151
AMPK signaling pathway	- hsa04152
mTOR signaling pathway	- hsa04150
Neuroactive ligand-receptor interaction	- hsa04080
Cytokine-cytokine receptor interaction	- hsa04060
Viral protein interaction with cytokine and cytokine receptor	- hsa04061
ECM-receptor interaction	- hsa04512
Cell adhesion molecules	- hsa04514
Endocytosis	- hsa04144
Phagosome	- hsa04145
Lysosome	- hsa04142
Peroxisome	- hsa04146
Autophagy - animal	- hsa04140
Mitophagy - animal	- hsa04137
Cell cycle	- hsa04110
Apoptosis	- hsa04210
Apoptosis - multiple species	- hsa04215
Ferroptosis	- hsa04216
Necroptosis	- hsa04217
p53 signaling pathway	- hsa04115
Cellular senescence	- hsa04218
Focal adhesion	- hsa04510
Adherens junction	- hsa04520
Tight junction	- hsa04530
Gap junction	- hsa04540
Signaling pathways regulating pluripotency of stem cells	- hsa04550
Regulation of actin cytoskeleton	- hsa04810
Hematopoietic cell lineage	- hsa04640
Complement and coagulation cascades	- hsa04610
Platelet activation	- hsa04611
Toll-like receptor signaling pathway	- hsa04620
NOD-like receptor signaling pathway	- hsa04621
RIG-I-like receptor signaling pathway	- hsa04622
Cytosolic DNA-sensing pathway	- hsa04623
C-type lectin receptor signaling pathway	- hsa04625
Natural killer cell mediated cytotoxicity	- hsa04650
Antigen processing and presentation	- hsa04612
T cell receptor signaling pathway	- hsa04660
Th1 and Th2 cell differentiation	- hsa04658
Th17 cell differentiation	- hsa04659
IL-17 signaling pathway	- hsa04657
B cell receptor signaling pathway	- hsa04662
Fc epsilon RI signaling pathway	- hsa04664
Fc gamma R-mediated phagocytosis	- hsa04666
Leukocyte transendothelial migration	- hsa04670
Intestinal immune network for IgA production	- hsa04672
Chemokine signaling pathway	- hsa04062
Insulin secretion	- hsa04911
Insulin signaling pathway	- hsa04910
Glucagon signaling pathway	- hsa04922
Regulation of lipolysis in adipocytes	- hsa04923
Adipocytokine signaling pathway	- hsa04920
PPAR signaling pathway	- hsa03320
GnRH secretion	- hsa04929
GnRH signaling pathway	- hsa04912
Ovarian steroidogenesis	- hsa04913
Estrogen signaling pathway	- hsa04915
Prolactin signaling pathway	- hsa04917
Oxytocin signaling pathway	- hsa04921
Relaxin signaling pathway	- hsa04926
Growth hormone synthesis, secretion and action	- hsa04935
Thyroid hormone synthesis	- hsa04918
Thyroid hormone signaling pathway	- hsa04919
Parathyroid hormone synthesis, secretion and action	- hsa04928
Melanogenesis	- hsa04916
Renin secretion	- hsa04924
Renin-angiotensin system	- hsa04614
Aldosterone synthesis and secretion	- hsa04925
Cortisol synthesis and secretion	- hsa04927
Cardiac muscle contraction	- hsa04260
Adrenergic signaling in cardiomyocytes	- hsa04261
