GeneID	Gene	GeneAliases	GeneType	GeneDescription	Pathways	Diseases
10	NAT2	AAC2|NAT-2|PNAT	protein-coding	N-acetyltransferase 2	hsa00232[Caffeine metabolism]&hsa00983[Drug metabolism - other enzymes]&hsa01100[Metabolic pathways]&hsa05204[Chemical carcinogenesis]	hsa05204[Chemical carcinogenesis]
100	ADA	.	protein-coding	adenosine deaminase	hsa00230[Purine metabolism]&hsa01100[Metabolic pathways]&hsa05340[Primary immunodeficiency]	hsa05340[Primary immunodeficiency]
1000	CDH2	CD325|CDHN|CDw325|NCAD	protein-coding	cadherin 2	hsa04514[Cell adhesion molecules (CAMs)]&hsa05412[Arrhythmogenic right ventricular cardiomyopathy (ARVC)]	hsa05412[Arrhythmogenic right ventricular cardiomyopathy (ARVC)]
10000	AKT3	MPPH|MPPH2|PKB-GAMMA|PKBG|PRKBG|RAC-PK-gamma|RAC-gamma|STK-2	protein-coding	AKT serine/threonine kinase 3	hsa01521[EGFR tyrosine kinase inhibitor resistance]&hsa01522[Endocrine resistance]&hsa01524[Platinum drug resistance]&hsa04010[MAPK signaling pathway]&hsa04012[ErbB signaling pathway]&hsa04014[Ras signaling pathway]&hsa04015[Rap1 signaling pathway]&hsa04022[cGMP-PKG signaling pathway]&hsa04024[cAMP signaling pathway]&hsa04062[Chemokine signaling pathway]&hsa04066[HIF-1 signaling pathway]&hsa04068[FoxO signaling pathway]&hsa04071[Sphingolipid signaling pathway]&hsa04072[Phospholipase D signaling pathway]&hsa04140[Autophagy - animal]&hsa04150[mTOR signaling pathway]&hsa04151[PI3K-Akt signaling pathway]&hsa04152[AMPK signaling pathway]&hsa04210[Apoptosis]&hsa04211[Longevity regulating pathway]&hsa04213[Longevity regulating pathway - multiple species]&hsa04218[Cellular senescence]&hsa04261[Adrenergic signaling in cardiomyocytes]&hsa04370[VEGF signaling pathway]&hsa04371[Apelin signaling pathway]&hsa04380[Osteoclast differentiation]&hsa04510[Focal adhesion]&hsa04550[Signaling pathways regulating pluripotency of stem cells]&hsa04611[Platelet activation]&hsa04620[Toll-like receptor signaling pathway]&hsa04625[C-type lectin receptor signaling pathway]&hsa04630[Jak-STAT signaling pathway]&hsa04660[T cell receptor signaling pathway]&hsa04662[B cell receptor signaling pathway]&hsa04664[Fc epsilon RI signaling pathway]&hsa04666[Fc gamma R-mediated phagocytosis]&hsa04668[TNF signaling pathway]&hsa04722[Neurotrophin signaling pathway]&hsa04725[Cholinergic synapse]&hsa04728[Dopaminergic synapse]&hsa04910[Insulin signaling pathway]&hsa04914[Progesterone-mediated oocyte maturation]&hsa04915[Estrogen signaling pathway]&hsa04917[Prolactin signaling pathway]&hsa04919[Thyroid hormone signaling pathway]&hsa04920[Adipocytokine signaling pathway]&hsa04922[Glucagon signaling pathway]&hsa04923[Regulation of lipolysis in adipocytes]&hsa04926[Relaxin signaling pathway]&hsa04929[GnRH secretion]&hsa04931[Insulin resistance]&hsa04932[Non-alcoholic fatty liver disease (NAFLD)]&hsa04933[AGE-RAGE signaling pathway in diabetic complications]&hsa04935[Growth hormone synthesis, secretion and action]&hsa04973[Carbohydrate digestion and absorption]&hsa05010[Alzheimer disease]&hsa05017[Spinocerebellar ataxia]&hsa05131[Shigellosis]&hsa05132[Salmonella infection]&hsa05135[Yersinia infection]&hsa05142[Chagas disease (American trypanosomiasis)]&hsa05145[Toxoplasmosis]&hsa05152[Tuberculosis]&hsa05160[Hepatitis C]&hsa05161[Hepatitis B]&hsa05162[Measles]&hsa05163[Human cytomegalovirus infection]&hsa05164[Influenza A]&hsa05165[Human papillomavirus infection]&hsa05166[Human T-cell leukemia virus 1 infection]&hsa05167[Kaposi sarcoma-associated herpesvirus infection]&hsa05168[Herpes simplex virus 1 infection]&hsa05169[Epstein-Barr virus infection]&hsa05170[Human immunodeficiency virus 1 infection]&hsa05200[Pathways in cancer]&hsa05205[Proteoglycans in cancer]&hsa05210[Colorectal cancer]&hsa05211[Renal cell carcinoma]&hsa05212[Pancreatic cancer]&hsa05213[Endometrial cancer]&hsa05214[Glioma]&hsa05215[Prostate cancer]&hsa05218[Melanoma]&hsa05220[Chronic myeloid leukemia]&hsa05221[Acute myeloid leukemia]&hsa05222[Small cell lung cancer]&hsa05223[Non-small cell lung cancer]&hsa05224[Breast cancer]&hsa05225[Hepatocellular carcinoma]&hsa05226[Gastric cancer]&hsa05230[Central carbon metabolism in cancer]&hsa05231[Choline metabolism in cancer]&hsa05235[PD-L1 expression and PD-1 checkpoint pathway in cancer]&hsa05418[Fluid shear stress and atherosclerosis]	hsa01521[EGFR tyrosine kinase inhibitor resistance]&hsa01522[Endocrine resistance]&hsa01524[Platinum drug resistance]&hsa04931[Insulin resistance]&hsa04932[Non-alcoholic fatty liver disease (NAFLD)]&hsa04933[AGE-RAGE signaling pathway in diabetic complications]&hsa05010[Alzheimer disease]&hsa05017[Spinocerebellar ataxia]&hsa05131[Shigellosis]&hsa05132[Salmonella infection]&hsa05135[Yersinia infection]&hsa05142[Chagas disease (American trypanosomiasis)]&hsa05145[Toxoplasmosis]&hsa05152[Tuberculosis]&hsa05160[Hepatitis C]&hsa05161[Hepatitis B]&hsa05162[Measles]&hsa05163[Human cytomegalovirus infection]&hsa05164[Influenza A]&hsa05165[Human papillomavirus infection]&hsa05166[Human T-cell leukemia virus 1 infection]&hsa05167[Kaposi sarcoma-associated herpesvirus infection]&hsa05168[Herpes simplex virus 1 infection]&hsa05169[Epstein-Barr virus infection]&hsa05170[Human immunodeficiency virus 1 infection]&hsa05200[Pathways in cancer]&hsa05205[Proteoglycans in cancer]&hsa05210[Colorectal cancer]&hsa05211[Renal cell carcinoma]&hsa05212[Pancreatic cancer]&hsa05213[Endometrial cancer]&hsa05214[Glioma]&hsa05215[Prostate cancer]&hsa05218[Melanoma]&hsa05220[Chronic myeloid leukemia]&hsa05221[Acute myeloid leukemia]&hsa05222[Small cell lung cancer]&hsa05223[Non-small cell lung cancer]&hsa05224[Breast cancer]&hsa05225[Hepatocellular carcinoma]&hsa05226[Gastric cancer]&hsa05230[Central carbon metabolism in cancer]&hsa05231[Choline metabolism in cancer]&hsa05235[PD-L1 expression and PD-1 checkpoint pathway in cancer]&hsa05418[Fluid shear stress and atherosclerosis]
100008587	RNA5-8SN5	RN5-8S1|RNA5-8S5	rRNA	RNA, 5.8S ribosomal N5	hsa03008[Ribosome biogenesis in eukaryotes]&hsa03010[Ribosome]	.
10005	ACOT8	HNAACTE|NAP1|PTE-1|PTE-2|PTE1|PTE2|hACTE-III|hTE	protein-coding	acyl-CoA thioesterase 8	hsa00120[Primary bile acid biosynthesis]&hsa01100[Metabolic pathways]&hsa04146[Peroxisome]	.
10006	ABI1	ABI-1|ABLBP4|E3B1|NAP1BP|SSH3BP|SSH3BP1	protein-coding	abl interactor 1	hsa05130[Pathogenic Escherichia coli infection]&hsa05132[Salmonella infection]	hsa05130[Pathogenic Escherichia coli infection]&hsa05132[Salmonella infection]
10007	GNPDA1	GNP1|GNPDA|GNPI|GPI|HLN	protein-coding	glucosamine-6-phosphate deaminase 1	hsa00520[Amino sugar and nucleotide sugar metabolism]&hsa01100[Metabolic pathways]	.
10008	KCNE3	BRGDA6|HOKPP|HYPP|MiRP2	protein-coding	potassium voltage-gated channel subfamily E regulatory subunit 3	hsa04974[Protein digestion and absorption]	.
1001	CDH3	CDHP|HJMD|PCAD	protein-coding	cadherin 3	hsa04514[Cell adhesion molecules (CAMs)]	.
